,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
47,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.5879828326180258,2,100,0.5915492957746479,0.5507246376811594,0.5714285714285714,0.45714285714285713,0.7571428571428571,0.5857142857142857,0.6142857142857143,0.5714285714285714,0.6571428571428571,0.5217391304347826,0.0758625625487496,0.16896400451660157,1.9111140489578247,0.01893885135650635,0.966142107773009,0.9713375796178344,0.9603174603174603,0.9682034976152624,0.9682034976152624,0.9634340222575517,0.9618441971383148,0.9713831478537361,0.9682034976152624,0.9618441971383148,0.9666666666666667,0.0038169210633938323,RCA+kNN,breast-cancer-wisconsin
48,Cascading:Unable to make 500 chunks of 2 examples each,2,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17248408794403075,1.9751626968383789,0.01893885135650635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
49,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17600417137145996,2.037844443321228,0.01893885135650635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
50,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.6437768240343348,3,10,0.4507042253521127,0.7536231884057971,0.4857142857142857,0.6714285714285714,0.6285714285714286,0.8571428571428571,0.7571428571428571,0.4857142857142857,0.6142857142857143,0.7391304347826086,0.129862361126329,0.17952425479888917,2.046944189071655,0.019647502899169923,0.9642346208869814,0.9633757961783439,0.9587301587301588,0.9825119236883942,0.9666136724960255,0.9602543720190779,0.9364069952305246,0.9666136724960255,0.9809220985691574,0.9634340222575517,0.9634920634920635,0.012026219849807776,RCA+kNN,breast-cancer-wisconsin
51,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.5894134477825465,3,50,0.5211267605633803,0.7101449275362319,0.5142857142857142,0.5142857142857142,0.7857142857142857,0.6,0.6285714285714286,0.5571428571428572,0.5571428571428572,0.5072463768115942,0.08918572343422415,0.18304433822631835,2.0740439653396607,0.020360732078552247,0.9643935781274837,0.964968152866242,0.9571428571428572,0.9666136724960255,0.9634340222575517,0.9713831478537361,0.9634340222575517,0.958664546899841,0.9713831478537361,0.9650238473767886,0.9619047619047619,0.0044361559059624,RCA+kNN,breast-cancer-wisconsin
52,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.5708154506437768,3,100,0.5211267605633803,0.5362318840579711,0.4857142857142857,0.6285714285714286,0.7,0.6,0.6428571428571429,0.4714285714285714,0.6,0.5217391304347826,0.07078933021546092,0.18656442165374756,2.1319792747497557,0.021065235137939453,0.9623271340009537,0.9633757961783439,0.9587301587301588,0.9682034976152624,0.958664546899841,0.9602543720190779,0.9554848966613673,0.9697933227344993,0.9650238473767886,0.9634340222575517,0.9603174603174603,0.004258836543873273,RCA+kNN,breast-cancer-wisconsin
53,Cascading:Unable to make 500 chunks of 3 examples each,2,0.0,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19008450508117675,2.1584153175354004,0.021065235137939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
54,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.0,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19360458850860596,2.179949641227722,0.021065235137939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
55,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.5894134477825465,5,10,0.8169014084507042,0.5942028985507246,0.6,0.5142857142857142,0.4714285714285714,0.6857142857142857,0.5571428571428572,0.6,0.6,0.4492753623188406,0.10080961382778887,0.19712467193603517,2.1840840101242067,0.021767067909240722,0.9658241932920044,0.964968152866242,0.9634920634920635,0.9713831478537361,0.9650238473767886,0.9697933227344993,0.9618441971383148,0.9697933227344993,0.9618441971383148,0.9634340222575517,0.9666666666666667,0.003276057977303174,RCA+kNN,breast-cancer-wisconsin
56,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.5951359084406295,5,50,0.647887323943662,0.6231884057971014,0.5285714285714286,0.5,0.6285714285714286,0.6,0.6571428571428571,0.6142857142857143,0.5714285714285714,0.5797101449275363,0.04817100247679561,0.20064475536346435,2.200284647941589,0.02246580123901367,0.9648704498489906,0.9665605095541401,0.9634920634920635,0.9682034976152624,0.958664546899841,0.9634340222575517,0.9634340222575517,0.9618441971383148,0.9745627980922098,0.9618441971383148,0.9666666666666667,0.0041712079531704095,RCA+kNN,breast-cancer-wisconsin
57,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.5550786838340487,5,100,0.5633802816901409,0.5652173913043478,0.5142857142857142,0.5142857142857142,0.6142857142857143,0.6,0.5571428571428572,0.5,0.5857142857142857,0.5362318840579711,0.03654435391449687,0.20416483879089356,2.254429340362549,0.02316272258758545,0.9629629629629629,0.9601910828025477,0.9555555555555556,0.9713831478537361,0.9618441971383148,0.9602543720190779,0.9618441971383148,0.9650238473767886,0.9697933227344993,0.9602543720190779,0.9634920634920635,0.004492323716571957,RCA+kNN,breast-cancer-wisconsin
58,Cascading:Unable to make 500 chunks of 5 examples each,2,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20768492221832274,2.278368902206421,0.02316272258758545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
59,Cascading:Unable to make 1000 chunks of 5 examples each,2,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21120500564575195,2.2979783535003664,0.02316272258758545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
