,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
185,,10.0,500,80,4,0.671875,0.6753246753246753,0.7105263157894737,0.5974025974025974,0.6753246753246753,0.6753246753246753,0.6493506493506493,0.7142857142857143,0.6753246753246753,0.7012987012987013,0.6447368421052632,0.033160082380831575,0.8254936695098877,441.1077426671982,0.15763504505157472,ITML+kNN,pima-indians-diabetes
186,,10.0,500,160,4,0.69921875,0.7012987012987013,0.7236842105263158,0.6493506493506493,0.7532467532467533,0.7272727272727273,0.6623376623376623,0.7402597402597403,0.7272727272727273,0.7142857142857143,0.5921052631578947,0.04725205139641559,0.8299318075180053,446.9305906534195,0.15836524963378906,ITML+kNN,pima-indians-diabetes
187,,10.0,500,320,4,0.6822916666666666,0.7142857142857143,0.6710526315789473,0.6623376623376623,0.6753246753246753,0.6493506493506493,0.6363636363636364,0.7662337662337663,0.7012987012987013,0.7142857142857143,0.631578947368421,0.03974167652868722,0.8343699455261231,458.3224157571793,0.15910706520080567,ITML+kNN,pima-indians-diabetes
188,,10.0,1000,40,4,0.6888020833333334,0.7272727272727273,0.7368421052631579,0.6753246753246753,0.6753246753246753,0.7012987012987013,0.7142857142857143,0.7012987012987013,0.7012987012987013,0.6753246753246753,0.5789473684210527,0.041855300144456195,0.8388080835342407,460.6316524982452,0.15987296104431153,ITML+kNN,pima-indians-diabetes
189,,10.0,1000,80,4,0.6966145833333334,0.7402597402597403,0.7631578947368421,0.5714285714285714,0.7272727272727273,0.6883116883116883,0.7142857142857143,0.7142857142857143,0.7272727272727273,0.6883116883116883,0.631578947368421,0.053736710867606056,0.8432462215423584,466.6191311836243,0.16061255931854249,ITML+kNN,pima-indians-diabetes
190,,10.0,1000,160,4,0.6692708333333334,0.7012987012987013,0.6973684210526315,0.5974025974025974,0.6623376623376623,0.7012987012987013,0.6753246753246753,0.6883116883116883,0.7142857142857143,0.6623376623376623,0.5921052631578947,0.04059833915922072,0.847684359550476,477.7548702955246,0.16135504245758056,ITML+kNN,pima-indians-diabetes
191,,10.0,1000,320,4,0.6875,0.6363636363636364,0.6973684210526315,0.6363636363636364,0.6883116883116883,0.7272727272727273,0.7012987012987013,0.7142857142857143,0.7142857142857143,0.7012987012987013,0.6578947368421053,0.030987081356222832,0.8521224975585937,498.66549053192136,0.16210472583770752,ITML+kNN,pima-indians-diabetes
192,,0.01,50,40,8,0.70703125,0.7532467532467533,0.7236842105263158,0.6493506493506493,0.6753246753246753,0.7272727272727273,0.6883116883116883,0.7272727272727273,0.7402597402597403,0.7142857142857143,0.6710526315789473,0.032197241650485695,0.8565606355667115,499.1035519361496,0.16283090114593507,ITML+kNN,pima-indians-diabetes
193,,0.01,50,80,8,0.71484375,0.7402597402597403,0.7763157894736842,0.6233766233766234,0.7012987012987013,0.7142857142857143,0.7402597402597403,0.7272727272727273,0.7922077922077922,0.6883116883116883,0.6447368421052632,0.050377945409614724,0.8609987735748291,499.4106132745743,0.1635561466217041,ITML+kNN,pima-indians-diabetes
194,,0.01,50,160,8,0.71875,0.7402597402597403,0.7631578947368421,0.6363636363636364,0.6753246753246753,0.7532467532467533,0.7012987012987013,0.7402597402597403,0.7922077922077922,0.7142857142857143,0.6710526315789473,0.045559039025338637,0.8654369115829468,499.82201941013335,0.16428124904632568,ITML+kNN,pima-indians-diabetes
