,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
28,500,full,,16,0.904,0.9047619047619048,0.8666666666666667,0.8888888888888888,0.9206349206349206,0.8888888888888888,0.9047619047619048,0.873015873015873,0.9365079365079365,0.9206349206349206,0.9344262295081968,0.023124754902607663,0.12057843208312988,1573.703935456276,0.0364971399307251,0.9064888888888889,0.902135231316726,0.9061946902654867,0.8896797153024911,0.9217081850533808,0.896797153024911,0.8843416370106761,0.8879003558718861,0.9395017793594306,0.891459074733096,0.9450354609929078,0.020651302336352907,CMAESFme+kNN,balance-scale
29,500,diagonal,,16,0.8016,0.8888888888888888,0.7333333333333333,0.8095238095238095,0.8888888888888888,0.9047619047619048,0.7301587301587301,0.7619047619047619,0.7619047619047619,0.746031746031746,0.7868852459016393,0.06493262262179646,0.12473630905151367,1631.3237540721893,0.03712315559387207,0.8432,0.8843416370106761,0.8460176991150442,0.8398576512455516,0.9110320284697508,0.902135231316726,0.7829181494661922,0.7864768683274022,0.8185053380782918,0.8149466192170819,0.8457446808510638,0.04248795236567839,CMAESFme+kNN,balance-scale
30,100,full,,32,0.8864,0.8888888888888888,0.8833333333333333,0.8888888888888888,0.8571428571428571,0.873015873015873,0.9047619047619048,0.873015873015873,0.873015873015873,0.9206349206349206,0.9016393442622951,0.01776680640048953,0.12889418601989747,1657.5949881076813,0.037735152244567874,0.8917333333333334,0.891459074733096,0.8955752212389381,0.9074733096085409,0.891459074733096,0.8932384341637011,0.8754448398576512,0.8932384341637011,0.896797153024911,0.902135231316726,0.8705673758865248,0.010556241157734679,CMAESFme+kNN,balance-scale
31,100,diagonal,,32,0.8112,0.8412698412698413,0.8,0.8095238095238095,0.8571428571428571,0.7142857142857143,0.873015873015873,0.8571428571428571,0.8095238095238095,0.9206349206349206,0.6229508196721312,0.08116640077795828,0.13305206298828126,1668.9812790870667,0.038365745544433595,0.8243555555555555,0.8256227758007118,0.815929203539823,0.7829181494661922,0.8398576512455516,0.806049822064057,0.8540925266903915,0.8309608540925267,0.8078291814946619,0.895017793594306,0.7854609929078015,0.03173650376736277,CMAESFme+kNN,balance-scale
32,250,full,,32,0.8944,0.873015873015873,0.8833333333333333,0.9365079365079365,0.9206349206349206,0.8888888888888888,0.9047619047619048,0.873015873015873,0.8888888888888888,0.9047619047619048,0.8688524590163934,0.021038923251429673,0.13720993995666503,1736.6292380571365,0.03898420333862305,0.8929777777777778,0.8754448398576512,0.8973451327433628,0.9128113879003559,0.905693950177936,0.895017793594306,0.891459074733096,0.8896797153024911,0.8790035587188612,0.895017793594306,0.8882978723404256,0.010584130315612927,CMAESFme+kNN,balance-scale
33,250,diagonal,,32,0.8144,0.8253968253968254,0.85,0.873015873015873,0.7936507936507936,0.8253968253968254,0.7936507936507936,0.8412698412698413,0.7936507936507936,0.7936507936507936,0.7540983606557377,0.0332045636027987,0.14136781692504882,1765.2721839427948,0.03961002826690674,0.8172444444444444,0.7953736654804271,0.8973451327433628,0.8683274021352313,0.7882562277580071,0.7882562277580071,0.8416370106761566,0.8291814946619217,0.7651245551601423,0.7740213523131673,0.824468085106383,0.04069265617165208,CMAESFme+kNN,balance-scale
34,500,full,,32,0.8944,0.9047619047619048,0.8666666666666667,0.873015873015873,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.8888888888888888,0.9206349206349206,0.9047619047619048,0.9180327868852459,0.020787277666534182,0.14552569389343262,1899.9686862707138,0.04022243022918701,0.8945777777777778,0.8825622775800712,0.9026548672566371,0.8790035587188612,0.8985765124555161,0.8879003558718861,0.8843416370106761,0.8861209964412812,0.9234875444839857,0.8843416370106761,0.9166666666666666,0.014551674161181838,CMAESFme+kNN,balance-scale
35,500,diagonal,,32,0.7984,0.8571428571428571,0.7666666666666667,0.8095238095238095,0.8888888888888888,0.8888888888888888,0.746031746031746,0.8095238095238095,0.7301587301587301,0.7619047619047619,0.7213114754098361,0.05979461941128709,0.1496835708618164,1957.588504886627,0.04084632396697998,0.8304,0.8540925266903915,0.831858407079646,0.8238434163701067,0.8985765124555161,0.902135231316726,0.7846975088967971,0.7953736654804271,0.7935943060498221,0.7953736654804271,0.824468085106383,0.04041371603829359,CMAESFme+kNN,balance-scale
36,100,full,,64,0.8752,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.9016393442622951,0.016809587451893433,0.1538414478302002,1983.859738922119,0.04146196842193604,0.8856888888888889,0.8879003558718861,0.8955752212389381,0.896797153024911,0.8807829181494662,0.8896797153024911,0.8736654804270463,0.8879003558718861,0.895017793594306,0.8879003558718861,0.8617021276595744,0.010405553923641585,CMAESFme+kNN,balance-scale
37,100,diagonal,,64,0.784,0.8095238095238095,0.7,0.8412698412698413,0.8095238095238095,0.6984126984126984,0.8571428571428571,0.8571428571428571,0.7936507936507936,0.873015873015873,0.5901639344262295,0.0867425962803222,0.15799932479858397,1995.2460299015045,0.042093634605407715,0.8035555555555556,0.800711743772242,0.7699115044247787,0.8096085409252669,0.8042704626334519,0.7740213523131673,0.8167259786476868,0.8202846975088968,0.8078291814946619,0.8861209964412812,0.7464539007092199,0.03549458099727701,CMAESFme+kNN,balance-scale
