,cmaes__c__n_neighbors,cmaes__c__weights,cmaes__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
29,8,uniform,250,diagonal,,1,0.9777406789092933,0.9783783783783784,0.9943181818181818,0.9726775956284153,0.9723756906077348,0.9888888888888889,0.9608938547486033,0.9664804469273743,0.9608938547486033,0.9943820224719101,0.9887005649717514,0.012431267107686375,0.32598209381103516,53031.84800715446,0.15921268463134766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
30,8,distance,50,full,,1,0.9666110183639399,0.9783783783783784,0.9715909090909091,0.9672131147540983,0.9668508287292817,0.9666666666666667,0.9664804469273743,0.9664804469273743,0.9664804469273743,0.9606741573033708,0.9548022598870056,0.0058173291423244036,0.33684816360473635,54318.28922798634,0.16247847080230712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
31,8,distance,50,diagonal,,1,0.9721758486366165,0.9675675675675676,0.9943181818181818,0.9562841530054644,0.9723756906077348,0.9888888888888889,0.9664804469273743,0.9832402234636871,0.9664804469273743,0.9662921348314607,0.96045197740113,0.011843796092709562,0.3477142333984375,54346.51477432251,0.1697474718093872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
32,8,distance,100,full,,1,0.9710628825820813,0.972972972972973,0.9943181818181818,0.9617486338797814,0.9723756906077348,0.9777777777777777,0.9553072625698324,0.9608938547486033,0.9720670391061452,0.9719101123595506,0.9717514124293786,0.010158003620102283,0.3585803031921387,56941.665788602826,0.17305009365081786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
33,8,distance,100,diagonal,,1,0.9766277128547579,0.9891891891891892,0.9943181818181818,0.9617486338797814,0.9834254143646409,0.9833333333333333,0.9608938547486033,0.9832402234636871,0.9664804469273743,0.9606741573033708,0.9830508474576272,0.012138051959246521,0.3694463729858398,57002.67881703377,0.1803539514541626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
34,8,distance,250,full,,1,0.9738452977184195,0.9891891891891892,0.9943181818181818,0.9781420765027322,0.9613259668508287,0.9666666666666667,0.9553072625698324,0.9664804469273743,0.9776536312849162,0.9719101123595506,0.9774011299435028,0.011445935566579008,0.380312442779541,63528.631886577605,0.18365747928619386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
35,8,distance,250,diagonal,,1,0.9838619922092376,0.9891891891891892,0.9943181818181818,0.9781420765027322,0.9723756906077348,0.9888888888888889,0.9720670391061452,0.9720670391061452,0.994413407821229,0.9831460674157303,0.9943502824858758,0.009097871997670553,0.3911785125732422,63672.84685711861,0.1910053014755249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
36,16,uniform,50,full,,1,0.9660545353366722,0.9783783783783784,0.9943181818181818,0.9617486338797814,0.9558011049723757,0.9666666666666667,0.9608938547486033,0.9553072625698324,0.9664804469273743,0.9606741573033708,0.96045197740113,0.011302261245620967,0.40204458236694335,64989.866134095195,0.19428684711456298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
37,16,uniform,50,diagonal,,1,0.9699499165275459,0.972972972972973,1.0,0.9672131147540983,0.9502762430939227,0.9888888888888889,0.9608938547486033,0.9441340782122905,0.9776536312849162,0.9662921348314607,0.9717514124293786,0.015779046224952742,0.41291065216064454,65015.54826080799,0.20161011219024658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
38,16,uniform,100,full,,1,0.9727323316638843,0.9891891891891892,0.9886363636363636,0.9726775956284153,0.9723756906077348,0.9777777777777777,0.9720670391061452,0.9608938547486033,0.9553072625698324,0.9831460674157303,0.9548022598870056,0.011931015830725356,0.4237767219543457,67575.5796667099,0.20488390922546387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
39,16,uniform,100,diagonal,,1,0.9782971619365609,0.9783783783783784,0.9943181818181818,0.9726775956284153,0.9613259668508287,0.9944444444444445,0.9608938547486033,0.9776536312849162,0.9888268156424581,0.9775280898876404,0.9774011299435028,0.01119173747670196,0.4346427917480469,67633.3903425455,0.212182354927063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
